tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets
69,116.71,8052.99,one_year,bank_transfer,3
46,85.78,3945.88,month_to_month,electronic_check,1
50,62.82,3141.0,one_year,electronic_check,2
65,72.37,4704.05,one_year,bank_transfer,2
42,107.28,4505.76,one_year,electronic_check,2
56,54.42,3047.52,month_to_month,bank_transfer,1
61,79.03,4820.83,month_to_month,credit_card,2
17,88.37,1502.29,month_to_month,bank_transfer,0
4,55.54,222.16,month_to_month,credit_card,2
22,71.91,1582.02,two_year,credit_card,1
21,96.52,2026.92,one_year,electronic_check,2
63,110.92,6987.96,month_to_month,electronic_check,1
66,35.11,2317.26,one_year,credit_card,2
1,113.34,113.34,one_year,electronic_check,0
36,20.52,738.72,month_to_month,electronic_check,2
60,95.3,5718.0,two_year,bank_transfer,1
10,101.05,1010.5,two_year,credit_card,3
58,33.68,1953.44,month_to_month,bank_transfer,2
9,61.89,557.01,month_to_month,credit_card,0
34,101.53,3452.02,one_year,bank_transfer,1
59,21.43,1264.37,two_year,credit_card,2
22,82.85,1822.7,month_to_month,bank_transfer,0
25,99.3,2482.5,one_year,credit_card,0
21,71.3,1497.3,two_year,bank_transfer,1
52,92.58,4814.16,two_year,bank_transfer,0
19,42.64,810.16,month_to_month,bank_transfer,0
72,39.85,2869.2,month_to_month,credit_card,1
33,56.31,1858.23,two_year,electronic_check,1
35,37.94,1327.9,month_to_month,credit_card,0
37,54.61,2020.57,month_to_month,credit_card,2
42,114.81,4822.02,one_year,credit_card,2
40,77.33,3093.2,month_to_month,credit_card,3
37,54.01,1998.37,one_year,bank_transfer,1
72,47.15,3394.8,month_to_month,electronic_check,3
59,115.2,6796.8,two_year,electronic_check,2
58,64.45,3738.1,month_to_month,credit_card,2
51,118.04,6020.04,one_year,credit_card,1
45,71.55,3219.75,month_to_month,credit_card,0
25,72.12,1803.0,month_to_month,electronic_check,2
72,109.65,7894.8,month_to_month,bank_transfer,2
34,94.28,3205.52,month_to_month,electronic_check,2
16,78.07,1249.12,month_to_month,bank_transfer,3
61,62.66,3822.26,one_year,bank_transfer,5
12,107.82,1293.84,month_to_month,electronic_check,3
62,61.16,3791.92,month_to_month,electronic_check,2
45,112.28,5052.6,two_year,credit_card,2
9,26.87,241.83,two_year,credit_card,1
4,63.0,252.0,two_year,bank_transfer,0
33,71.95,2374.35,month_to_month,bank_transfer,0
3,115.09,345.27,month_to_month,credit_card,4
11,45.1,496.1,month_to_month,bank_transfer,1
38,100.6,3822.8,month_to_month,bank_transfer,2
70,87.65,6135.5,month_to_month,credit_card,1
34,91.71,3118.14,one_year,credit_card,0
59,82.96,4894.64,month_to_month,credit_card,0
67,117.16,7849.72,month_to_month,credit_card,2
60,53.27,3196.2,two_year,electronic_check,1
46,59.83,2752.18,month_to_month,credit_card,2
32,40.29,1289.28,month_to_month,credit_card,1
38,25.07,952.66,one_year,credit_card,1
20,41.29,825.8,month_to_month,bank_transfer,1
36,111.55,4015.8,one_year,credit_card,1
28,104.02,2912.56,month_to_month,bank_transfer,1
18,31.24,562.32,one_year,credit_card,2
72,80.38,5787.36,one_year,credit_card,2
1,67.92,67.92,one_year,electronic_check,2
7,79.47,556.29,month_to_month,credit_card,1
14,85.93,1203.02,one_year,bank_transfer,0
70,50.67,3546.9,two_year,bank_transfer,0
50,116.14,5807.0,month_to_month,bank_transfer,1
64,66.58,4261.12,month_to_month,electronic_check,0
15,82.81,1242.15,month_to_month,credit_card,1
52,83.52,4343.04,two_year,electronic_check,0
27,38.39,1036.53,two_year,electronic_check,2
36,26.19,942.84,month_to_month,bank_transfer,1
1,61.15,61.15,two_year,credit_card,2
45,96.4,4338.0,month_to_month,bank_transfer,1
60,101.52,6091.2,one_year,bank_transfer,1
48,93.0,4464.0,month_to_month,electronic_check,0
12,31.32,375.84,two_year,credit_card,0
39,111.34,4342.26,month_to_month,electronic_check,0
20,100.2,2004.0,month_to_month,electronic_check,1
70,107.77,7543.9,one_year,credit_card,0
64,72.33,4629.12,month_to_month,credit_card,2
14,111.56,1561.84,month_to_month,credit_card,0
37,24.67,912.79,month_to_month,electronic_check,3
68,23.03,1566.04,two_year,electronic_check,0
61,22.02,1343.22,one_year,electronic_check,1
51,45.28,2309.28,two_year,bank_transfer,4
47,44.86,2108.42,one_year,bank_transfer,1
4,38.75,155.0,one_year,bank_transfer,0
54,76.71,4142.34,two_year,bank_transfer,3
35,23.9,836.5,one_year,electronic_check,0
7,79.04,553.28,one_year,bank_transfer,0
18,36.6,658.8,month_to_month,credit_card,2
39,87.79,3423.81,month_to_month,bank_transfer,2
53,22.11,1171.83,one_year,credit_card,1
37,51.06,1889.22,month_to_month,electronic_check,1
45,113.83,5122.35,two_year,bank_transfer,4
63,73.84,4651.92,one_year,bank_transfer,2
50,101.16,5058.0,month_to_month,electronic_check,0
27,85.8,2316.6,two_year,electronic_check,0
47,81.08,3810.76,month_to_month,credit_card,2
44,39.13,1721.72,one_year,credit_card,2
8,77.44,619.52,month_to_month,credit_card,2
5,23.97,119.85,two_year,credit_card,0
48,100.17,4808.16,one_year,credit_card,2
28,116.01,3248.28,two_year,bank_transfer,2
44,105.4,4637.6,month_to_month,electronic_check,1
24,25.07,601.68,two_year,credit_card,1
17,53.87,915.79,one_year,electronic_check,3
11,51.8,569.8,one_year,bank_transfer,2
28,31.27,875.56,two_year,electronic_check,1
59,82.66,4876.94,month_to_month,bank_transfer,1
29,99.75,2892.75,month_to_month,credit_card,1
28,51.37,1438.36,one_year,electronic_check,1
42,106.28,4463.76,two_year,credit_card,3
71,99.71,7079.41,month_to_month,credit_card,2
29,32.91,954.39,one_year,electronic_check,1
43,96.69,4157.67,month_to_month,bank_transfer,1
32,108.26,3464.32,one_year,credit_card,1
44,39.73,1748.12,one_year,credit_card,2
33,77.36,2552.88,month_to_month,electronic_check,1
46,83.87,3858.02,one_year,credit_card,1
40,80.93,3237.2,month_to_month,electronic_check,0
49,29.62,1451.38,two_year,credit_card,5
69,86.12,5942.28,month_to_month,electronic_check,1
11,83.2,915.2,month_to_month,credit_card,4
41,102.39,4197.99,one_year,bank_transfer,1
32,100.35,3211.2,one_year,credit_card,0
26,52.72,1370.72,one_year,bank_transfer,0
18,92.2,1659.6,month_to_month,electronic_check,2
4,106.73,426.92,one_year,credit_card,0
29,109.29,3169.41,one_year,credit_card,1
60,36.15,2169.0,two_year,electronic_check,0
7,22.67,158.69,month_to_month,bank_transfer,2
30,85.08,2552.4,month_to_month,credit_card,0
70,41.47,2902.9,one_year,bank_transfer,1
69,76.37,5269.53,one_year,bank_transfer,1
16,114.48,1831.68,month_to_month,electronic_check,1
1,57.93,57.93,one_year,credit_card,1
49,45.28,2218.72,month_to_month,electronic_check,2
2,65.65,131.3,month_to_month,bank_transfer,2
22,85.72,1885.84,two_year,electronic_check,0
36,30.11,1083.96,month_to_month,credit_card,1
63,58.06,3657.78,month_to_month,electronic_check,2
7,33.37,233.59,one_year,bank_transfer,0
48,86.24,4139.52,one_year,credit_card,0
39,103.06,4019.34,one_year,credit_card,0
10,57.69,576.9,two_year,electronic_check,2
61,57.17,3487.37,month_to_month,electronic_check,0
61,73.95,4510.95,one_year,credit_card,3
35,41.51,1452.85,two_year,electronic_check,2
69,44.74,3087.06,one_year,credit_card,2
44,52.99,2331.56,one_year,bank_transfer,0
66,65.74,4338.84,month_to_month,electronic_check,3
70,28.15,1970.5,one_year,bank_transfer,3
42,95.27,4001.34,month_to_month,credit_card,1
21,77.91,1636.11,one_year,credit_card,3
11,49.97,549.67,month_to_month,credit_card,1
41,27.75,1137.75,month_to_month,credit_card,2
14,96.32,1348.48,one_year,credit_card,4
55,33.11,1821.05,one_year,credit_card,2
67,33.32,2232.44,month_to_month,credit_card,1
18,33.07,595.26,two_year,bank_transfer,1
40,28.13,1125.2,month_to_month,credit_card,1
4,110.64,442.56,two_year,electronic_check,3
13,46.92,609.96,one_year,electronic_check,1
28,50.64,1417.92,month_to_month,credit_card,2
64,103.28,6609.92,one_year,bank_transfer,2
70,81.99,5739.3,month_to_month,bank_transfer,2
47,38.71,1819.37,month_to_month,credit_card,0
43,63.48,2729.64,two_year,credit_card,0
42,108.39,4552.38,one_year,electronic_check,2
5,57.54,287.7,one_year,bank_transfer,1
28,91.09,2550.52,one_year,electronic_check,3
71,29.68,2107.28,one_year,credit_card,3
30,92.73,2781.9,one_year,bank_transfer,0
16,97.65,1562.4,month_to_month,electronic_check,5
18,102.58,1846.44,month_to_month,electronic_check,1
52,87.42,4545.84,month_to_month,credit_card,1
3,57.07,171.21,month_to_month,bank_transfer,3
70,26.42,1849.4,month_to_month,credit_card,0
64,71.88,4600.32,two_year,electronic_check,2
41,95.75,3925.75,month_to_month,credit_card,3
34,39.08,1328.72,month_to_month,credit_card,0
55,46.62,2564.1,month_to_month,electronic_check,3
40,73.61,2944.4,one_year,bank_transfer,1
35,94.83,3319.05,two_year,bank_transfer,3
24,109.66,2631.84,two_year,electronic_check,2
33,32.57,1074.81,month_to_month,credit_card,3
55,38.43,2113.65,month_to_month,credit_card,2
4,99.95,399.8,two_year,credit_card,2
2,84.45,168.9,month_to_month,credit_card,2
52,92.1,4789.2,one_year,credit_card,1
27,119.68,3231.36,month_to_month,bank_transfer,3
58,113.92,6607.36,two_year,electronic_check,2
3,104.3,312.9,month_to_month,bank_transfer,1
66,97.71,6448.86,month_to_month,bank_transfer,3
9,59.5,535.5,month_to_month,credit_card,0
