tenure_months,monthly_charges,total_charges,contract_type,payment_method,support_tickets,churn
7,26.21,183.47,two_year,credit_card,3,0
56,65.83,3686.48,one_year,bank_transfer,3,0
48,32.9,1579.2,month_to_month,electronic_check,0,0
32,35.23,1127.36,one_year,credit_card,1,0
32,83.23,2663.36,month_to_month,credit_card,1,1
62,59.29,3675.98,one_year,bank_transfer,1,0
7,112.19,785.33,one_year,electronic_check,2,1
51,51.92,2647.92,month_to_month,bank_transfer,0,0
15,92.62,1389.3,month_to_month,electronic_check,3,1
7,66.11,462.77,one_year,bank_transfer,1,0
38,86.0,3268.0,month_to_month,credit_card,2,1
71,79.97,5677.87,two_year,bank_transfer,2,0
53,67.28,3565.84,one_year,credit_card,1,0
55,115.01,6325.55,one_year,electronic_check,0,0
52,54.27,2822.04,month_to_month,credit_card,0,0
57,37.72,2150.04,one_year,credit_card,1,0
37,87.81,3248.97,two_year,bank_transfer,4,0
10,104.6,1046.0,month_to_month,bank_transfer,0,1
61,24.03,1465.83,month_to_month,bank_transfer,2,0
33,64.96,2143.68,month_to_month,bank_transfer,1,0
37,109.25,4042.25,month_to_month,electronic_check,1,1
27,94.96,2563.92,one_year,electronic_check,1,1
14,119.18,1668.52,month_to_month,electronic_check,1,1
67,73.14,4900.38,one_year,bank_transfer,0,0
57,86.0,4902.0,month_to_month,bank_transfer,2,0
47,50.25,2361.75,month_to_month,bank_transfer,2,0
29,114.75,3327.75,month_to_month,bank_transfer,0,0
60,56.63,3397.8,two_year,credit_card,1,0
40,93.85,3754.0,one_year,bank_transfer,2,0
32,60.31,1929.92,month_to_month,credit_card,3,0
33,76.18,2513.94,one_year,credit_card,0,0
17,91.98,1563.66,month_to_month,electronic_check,1,1
7,70.89,496.23,month_to_month,credit_card,2,1
40,110.71,4428.4,month_to_month,bank_transfer,1,1
64,61.93,3963.52,two_year,bank_transfer,4,0
5,84.71,423.55,one_year,credit_card,3,0
62,54.24,3362.88,one_year,electronic_check,0,0
60,60.82,3649.2,month_to_month,credit_card,1,0
20,64.01,1280.2,month_to_month,electronic_check,4,1
46,32.58,1498.68,one_year,electronic_check,1,0
12,29.17,350.04,month_to_month,credit_card,1,1
55,86.75,4771.25,two_year,credit_card,1,0
51,85.55,4363.05,one_year,credit_card,1,0
26,86.29,2243.54,month_to_month,credit_card,1,1
5,21.98,109.9,one_year,credit_card,2,0
70,52.65,3685.5,two_year,electronic_check,0,0
33,39.78,1312.74,month_to_month,credit_card,3,0
65,97.82,6358.3,one_year,electronic_check,3,1
49,106.06,5196.94,two_year,credit_card,1,0
57,44.67,2546.19,month_to_month,electronic_check,1,1
55,86.78,4772.9,two_year,credit_card,4,0
15,32.94,494.1,month_to_month,bank_transfer,2,1
27,47.52,1283.04,one_year,bank_transfer,2,0
34,33.87,1151.58,one_year,credit_card,1,0
36,48.35,1740.6,one_year,electronic_check,1,0
4,87.47,349.88,month_to_month,credit_card,1,1
40,111.03,4441.2,one_year,bank_transfer,0,0
12,40.25,483.0,month_to_month,bank_transfer,3,1
54,74.21,4007.34,month_to_month,bank_transfer,2,0
50,90.14,4507.0,month_to_month,credit_card,3,0
67,115.29,7724.43,one_year,credit_card,5,0
54,81.01,4374.54,month_to_month,credit_card,1,0
27,45.51,1228.77,month_to_month,credit_card,0,0
70,82.55,5778.5,two_year,credit_card,2,0
30,52.05,1561.5,month_to_month,electronic_check,3,1
24,117.61,2822.64,month_to_month,bank_transfer,0,1
66,59.97,3958.02,month_to_month,bank_transfer,1,0
27,88.54,2390.58,month_to_month,credit_card,2,1
6,22.32,133.92,one_year,credit_card,2,0
34,60.01,2040.34,month_to_month,bank_transfer,0,0
58,107.51,6235.58,month_to_month,credit_card,3,1
14,81.02,1134.28,two_year,credit_card,2,1
34,64.39,2189.26,two_year,bank_transfer,0,0
10,113.59,1135.9,one_year,bank_transfer,1,1
50,105.4,5270.0,two_year,electronic_check,1,0
35,52.22,1827.7,two_year,credit_card,2,0
24,74.45,1786.8,month_to_month,bank_transfer,2,1
17,68.98,1172.66,one_year,credit_card,1,0
41,83.22,3412.02,one_year,credit_card,3,0
49,53.41,2617.09,month_to_month,electronic_check,1,0
68,44.42,3020.56,month_to_month,credit_card,3,0
32,111.27,3560.64,month_to_month,bank_transfer,0,0
12,112.39,1348.68,one_year,bank_transfer,0,0
60,104.33,6259.8,one_year,credit_card,3,0
46,117.82,5419.72,one_year,electronic_check,2,0
51,94.5,4819.5,month_to_month,bank_transfer,2,0
8,96.47,771.76,month_to_month,electronic_check,0,1
23,96.26,2213.98,month_to_month,bank_transfer,0,1
56,68.06,3811.36,one_year,electronic_check,0,0
60,65.65,3939.0,two_year,credit_card,1,0
32,44.02,1408.64,two_year,bank_transfer,1,0
58,84.48,4899.84,two_year,electronic_check,0,0
61,48.93,2984.73,two_year,credit_card,1,0
28,45.78,1281.84,two_year,credit_card,2,0
65,78.6,5109.0,month_to_month,electronic_check,0,0
21,61.0,1281.0,month_to_month,bank_transfer,2,0
18,41.89,754.02,month_to_month,bank_transfer,2,0
50,101.61,5080.5,month_to_month,bank_transfer,2,1
46,106.06,4878.76,month_to_month,electronic_check,5,1
11,36.77,404.47,month_to_month,electronic_check,3,1
60,20.75,1245.0,two_year,bank_transfer,3,0
15,53.61,804.15,month_to_month,credit_card,3,0
58,99.75,5785.5,two_year,credit_card,3,0
1,103.92,103.92,one_year,bank_transfer,1,1
58,33.83,1962.14,one_year,electronic_check,1,0
57,97.43,5553.51,one_year,bank_transfer,4,0
57,31.57,1799.49,month_to_month,credit_card,1,0
48,59.01,2832.48,one_year,credit_card,2,0
34,119.86,4075.24,month_to_month,bank_transfer,3,1
